No,book_links,book_ids,book_titles,book_authors,book_sub_categories,book_ratings,book_rated_times,book_public_dates,book_downloads,book_pages,book_desciptions,book_images
35,/drama/Adventure-of-a-Lifetime,1494517355,Adventure of a Lifetime,Charles E Butler,Drama,Rating: 0,0 times,May 2017,526,185,"Years of lifting heavy shipping containers turn sailor Cass bronze and brawny. He grows a handsome head higher than the average man. Women have no defense against his masculine beauty. Men fear his crushing power, but revere his unflinching bravery. Courageous Cass is only concerned with saving...",/drama/Adventure-of-a-Lifetime
36,/drama/Winston-Salem-Revue,1491580746,Winston-Salem Revue,Mike Bozart,Drama,Rating: 3.67,3 times,Apr 2017,82,13,"Agents 32 and 33 of the so-called psecret psociety travel from Charlotte to Winston-Salem (NC, USA) to search for more clues on a majestic spring Saturday. They sample several downtown spots and leave their own breadcrumbs. The next day, it's a lakeside conclusion. Brazenly biographical, oddly...",/drama/Winston-Salem-Revue
37,/drama/February,1490042943,February,Nick Nwaogu,Drama,Rating: 4.67,3 times,Mar 2017,805,112,"In February, together, Sergeant Femi Kolawole and investigative journalist Chioma Okafor solves Emeka's Valentine-day murder, and on doing so, Chioma is exposed to Femi's heroic personality, which makes her eventually fall in love with him.This is a story on how crime brings two love birds together.",/drama/February
38,/drama/The-Way-to-Freedom,1488937819,The Way to Freedom,Stela Brailean,Drama,Rating: 5,1 times,Mar 2017,543,21,"The pavement on the way to freedom is never smooth, it is a right to be earned and always worth the fight. ",/drama/The-Way-to-Freedom
39,/drama/Hamster-Davies-A-Life-of-Conttinual-Dysfunction,1488503884,Hamster Davies - A Life of Conttinual Dysfunction,Dwight J. Sernoskie,Drama,Rating: 5,1 times,Mar 2017,169,54,"Out for a seemingly normal day at the theater with his family, Hamster Davies’s life is inexplicably turned upside down, as one mishap leads to another in a madcap adventure of epic proportions. A bitter boss, a kidnapping, and a match in the wrestling ring are the keys to returning life to...",/drama/Hamster-Davies-A-Life-of-Conttinual-Dysfunction
40,/drama/Living-in-Iowa-City,1488173416,Living in Iowa City,Mikos Milan Mitchell,Drama,Rating: 4,1 times,Feb 2017,174,22,It is about Geraldine and her children who move from Chicago's west side to Southeast Iowa City. Mikos is a University of Iowa graduate student as well as a social worker who works with his girlfriend Heather Carlson. Georgia moves from West Des Moines Iowa from a domestic violence shelter which...,/drama/Living-in-Iowa-City
41,/drama/Mind-Games,1487944470,Mind Games,C.J. Deurloo,Drama,Rating: 0,0 times,Feb 2017,698,194,"After his father’s death strange things begin to happen to Anthony Baker. He is regularly visited by Major Crosse a scientist from the 19th century. The man convinces Anthony that computers were invented to observe and control civilians.  A few months later, Anthony is about to take part in a...",/drama/Mind-Games
42,/drama/The-Testimony,1487852753,The Testimony,Richard Shekari,Drama,Rating: 4.5,8 times,Feb 2017,1283,42,A family of five invites their good neighbour over for dinner. Things get ugly as someone decides to teach them a lesson they will never forget.,/drama/The-Testimony
43,/drama/Cyber-Hunting,1487775126,Cyber Hunting,Baley Montag,Drama,Rating: 4,1 times,Feb 2017,246,76,"The third book in the series of Cyber war stories featuring Brandon L. Harris and his team of cyber fighters. It is a story of A story of cyber traps, sanctioned redress, and erotic confederation. This cyber war story was first released in 2002 and was popular in Europe and Asia. Like Exopa Terra...",/drama/Cyber-Hunting
44,/drama/Byte-Saddam,1487695847,Byte Saddam,Baley Montag,Drama,Rating: 3,1 times,Feb 2017,121,73,"A story of Cyber war, political revenge, and erotic compacts. This is the second book in the series of Cyber war stories featuring Brandon L. Harris and his team of cyber fighters. This cyber war story was first released in 2001 and was popular in Europe and Asia. Like Exopa Terra, It was among...",/drama/Byte-Saddam
45,/drama/Exopa-Terra,1487600982,Exopa Terra,Baley Montag,Drama,Rating: 4.67,3 times,Feb 2017,468,140,"This cyber terrorism story was first released in 2001 and was popular in Europe and Asia. It is a story of cyber terrorism, political intrigue, and erotic accession. It was among the first books to introduce techno geeks and hackers as mercenaries in the battle between good and evil in...",/drama/Exopa-Terra
46,/drama/White-Collar-Woman-2-A-Man-s-Appetite,1486596267,White Collar Woman 2: A Man's Appetite,Nicholas L. Maze,Drama,Rating: 5,1 times,Feb 2017,613,193,"Whether you were the Prey or the Predator, we all have experienced the Appetite of a Man in some shape or form. The indescribable connection between a man and woman can lead to a deadly web of lies, deceit, and infidelity. As you enter the lives of multiple relationships, you will find yourself...",/drama/White-Collar-Woman-2-A-Man-s-Appetite
47,/drama/Hashim-Khail-and-Keeper-of-the-Gates,1486261853,Hashim Khail and Keeper of the Gates,Richard Shekari,Drama,Rating: 5,1 times,Feb 2017,253,35,"In an attempt to please his father, Hashim Khail, a young prince finds himself in a dilemma after a great tragedy struck him. He wakes up in a foreign land, enslaved and at the mercy of a new king.",/drama/Hashim-Khail-and-Keeper-of-the-Gates
48,/drama/Ambush-Alley,1483938820,Ambush Alley,Bryan Britton,Drama,Rating: 5,1 times,Jan 2017,512,167,"We expected too much in 1994. With the collapse of communism, we anticipated that the ANC under Mandela South Africa would subscribe to Western Democracy. For a while under him and later Mbeki, we did just that. We applied Western Economic Policies and stepped back from the precipice upon which we...",/drama/Ambush-Alley
49,/drama/Connection,1479823518,Connection,Ahmet Koctar,Drama,Rating: 5,1 times,Nov 2016,366,63,"A school with a dark secret, a mysterious gravestone, and a baby with silver fingernails.With these three short stories I wanted to explore interesting relationships between complex characters. That's why I call this collection ""Connection"".  ",/drama/Connection
50,/drama/The-Silver-Fingernails,1479756145,The Silver Fingernails,Ahmet Koctar,Drama,Rating: 0,0 times,Nov 2016,243,22,A baby with silver fingernails changes the life of the married couple who actually doesn't want to have children. They start getting chased by armed men and the strange baby leads them to a place where they discover a harsh truth.,/drama/The-Silver-Fingernails
51,/drama/Disgraced-in-all-of-Koala-Bay,1477525881,Disgraced in all of Koala Bay,Mark Lawson,Drama,Rating: 4.75,4 times,Oct 2016,1040,164,"The only job Miles Black can get in journalism is on a obscure suburban weekly, but he is determined to turn into a newspaper and win his dream girl.",/drama/Disgraced-in-all-of-Koala-Bay
52,/drama/As-Skies-Became-Crimson,1476454488,As Skies Became Crimson,Thane Hounchell,Drama,Rating: 4.67,3 times,Oct 2016,608,240,"With death lingering in the life of a young college student diagnosed with cancer, a struggle for both sanity and love ensues. Though his fate inescapable, this young man begins a daunting search for beauty in his death as he ever-presently seeks out his final sunset in life. As perversity...",/drama/As-Skies-Became-Crimson
53,/drama/The-Day-God-Came-to-Earth,1474591051,The Day God Came to Earth,"Aileen Friedman, Javonne Cupido",Drama,Rating: 0,0 times,Sep 2016,254,80,"Jonathan Bales, the greatest TV talk show host in the world. Most sought after celebrity, the ideal family man and religious church member. But is he all that he is made out to be?If Satan was a guest on Jonathan’s TV show, is it possible that he’d be honest as he reveals his part in the...",/drama/The-Day-God-Came-to-Earth
54,/drama/Urban-Paranoia,1474255822,Urban Paranoia,John Cullen,Drama,Rating: 0,0 times,Sep 2016,359,146,"Our protagonist Jason is recovering from a nervous breakdown, after spending his twenties in a blur of London's pubs, clubs and cigarette smoke. His small acts of revenge have now snowballed into something quite dark - All with the sole purpose of equaling the score. 
Now in his thirties, Jason...",/drama/Urban-Paranoia
55,/drama/The-Gravestone-in-the-Pool,1473447558,The Gravestone in the Pool,Ahmet Koctar,Drama,Rating: 5,1 times,Sep 2016,466,23,"One night Hannah finds a mysterious Gravestone in her pool that leads her, a stranger and her best friend, John, to Colorado, Hinsdale County where they have to find the hidden cemetery and an antidote. But they only have 48 hours. Can they solve the riddle and safe their lives?",/drama/The-Gravestone-in-the-Pool
56,/drama/Bear-With-Me,1459849822,Bear With Me,Wendy D. Bear,Drama,Rating: 5,1 times,Apr 2016,1159,107,"Our character finds himself at the end of his rope, having gotten frustrated with all of the things which went wrong in his life.  On his way to figure out how to ""end it all"", he finds a place which he could never have imagined.",/drama/Bear-With-Me
57,/international/Las-Ranas-del-Condado-de-Carmen,1459033774,Las Ranas del Condado de Carmen,Tony Broadwick,International,Rating: 0,0 times,Mar 2016,47,22,"Esta obra de teatro habla sobre estereotipos, y asuntos interculturales y socio-politicos que afectan a la frontera México-Americana. Simbólicamente, las ranas representana los humanos con todas sus emociones, aspiraciones, temores, y prejuicios. Esta obra es apta para edades de 12 años en...",/international/Las-Ranas-del-Condado-de-Carmen
58,/drama/Quarterback-Queen,1455900453,Quarterback Queen,Gary Whitmore,Drama,Rating: 0,0 times,Feb 2016,378,166,"Rocky Malone was the superstar quarterback for the Bellwood College Panthers football team. He had one fault and that is, he hated gays with a passion. He often harassed Stefon Jackson a gay student at Bellwood. So two sleazy students named Ernie and Mitch concocted a plan to win on gambling some...",/drama/Quarterback-Queen
59,/drama/Truth-in-Time,1455896098,Truth in Time,Gary Whitmore,Drama,Rating: 4.33,3 times,Feb 2016,715,248,"Ernie Conner lost his mother when he was a young boy. Years had passed and he’s now a young man. After Ernie learned that his mother was murdered back in 1956, he discovered that a former coworker Louie built a functioning time machine. So Ernie and Louie time travel back to 1956 and go on the...",/drama/Truth-in-Time
60,/drama/Heavenly-Chat,1455895655,Heavenly Chat,Gary Whitmore,Drama,Rating: 5,1 times,Feb 2016,690,233,Albert Taylor is happily married to Ginger and life is good. That’s until she dies suddenly in a car accident off Mulholland Drive in the Los Angeles area. Life is miserable for Albert and his grieving costs him his job. Then a website called Heavenly Chat pestered Albert to sign up to chat with...,/drama/Heavenly-Chat
61,/drama/Forever-Rocking,1455895393,Forever Rocking,Gary Whitmore,Drama,Rating: 5,1 times,Feb 2016,226,417,"Young Danny Dakota is obsessed with a 1960s rock band called The Rocking Tones that died from a bus explosion in 1964. After he learns of a time machine from a physics professor, he sneaks off to 1964 with Cindy Perry. They venture back to 1964 with the mission of preventing this rock bank from...",/drama/Forever-Rocking
62,/drama/Hitchin-a-Ride,1455893245,Hitchin a Ride,Gary Whitmore,Drama,Rating: 5,1 times,Feb 2016,596,331,"Joey Austin longed for the love of a woman. But he’s a geek. Sandy took a liking to Joey at the office. He’s in love. He accepts her request to give her a ride home after work. After a short stop at the bank’s drive through, Joey learns later that night that he’s now wanted for bank...",/drama/Hitchin-a-Ride
63,/drama/Escape-from-Samsara,1455865473,Escape from Samsara,Amy Williams,Drama,Rating: 5,1 times,Feb 2016,843,389,"This is the story of a 23-year old young woman who remembered her death and rebirth experience. Discovering the truth, she joins a cult only to find fraud, prostitution, murder and bigamy. She escapes the cult only to find drugs and sociopaths. The drama is filled with comedy and fun adventures...",/drama/Escape-from-Samsara
64,/drama/Fedora-Outlaw,1455833907,Fedora Outlaw,Gary Whitmore,Drama,Rating: 0,0 times,Feb 2016,216,415,Clark believed that life of the golden age of gangsters was adventurous and romantic. After Clark learned of his Uncle Wallace's time machine he time travels back to 1935 with Wallace. He slips away from his uncle and soon hooks up with the Dirk Beaumont gang. But life on the lamb with this famous...,/drama/Fedora-Outlaw
65,/drama/Broken-Heart,1455833428,Broken Heart,Gary Whitmore,Drama,Rating: 5,2 times,Feb 2016,458,245,"It’s 1978 and Jason Jenkins is a middle aged confirmed bachelor who owns a small flight school in Florida. His niece Robyn surprised Jason by flying him to the grand opening of a aviation museum. While at the museum, he sees the nose section of his old B-17 bomber that crashed after being shot...",/drama/Broken-Heart
66,/drama/Bringing-Him-Back,1455833252,Bringing Him Back,Gary Whitmore,Drama,Rating: 5,2 times,Feb 2016,325,347,"It’s 1995 and James Eastman never met his real grandfather, Ben because he died in 1944 in the South Pacific. Then after James discovers a functioning time machine in the basement of an old abandoned home, he time travels back to 1944. James was disguised as a USMC Marine Corsair pilot and was...",/drama/Bringing-Him-Back
67,/drama/Huey,1455749520,Huey,Gary Whitmore,Drama,Rating: 5,1 times,Feb 2016,350,236,"Michael Grayson had dreams of being a helicopter pilot since he was a kid back in the late 1950s. All he dreamt about was flying helicopters and these dreams grew from watching the Whirlybirds TV show. So after he graduated high school, he joined the Army in 1968. After basic training, he was sent...",/drama/Huey
68,/flash-fiction/Cinderella-by-Any-Other-Name,1454423857,Cinderella by Any Other Name,Annemarie Musawale,Flash Fiction,Rating: 0,0 times,Feb 2016,398,8,"Shadya, Amina and Ahmed are siblings living with their stepfather and stepmother in Nairobi. But things are about to change and not for the better. Shadya will be forced to step up and fill some big shoes. Will she be up to the challenge?",/flash-fiction/Cinderella-by-Any-Other-Name
69,/drama/Tanya,1452473966,Tanya,Marianne Malthouse,Drama,Rating: 4.6,5 times,Jan 2016,1786,472,"From poverty stricken beginnings to untold riches, from the wilds of the Swedish Empire to the fabulous Court of Tsar Peter the Great, within the grim and fabled walls of the Kremlin, Tanya de la Verrière is swept along in a world where women are the pawns and playthings of men, where she must...",/drama/Tanya
70,/drama/Last-Gasp,1450900077,Last Gasp,Bryan Britton,Drama,Rating: 4,1 times,Dec 2015,361,172,"The jury is out. The judgement is awaited. The tension is palpable. The journalists wait, pens poised, to see whether African Kleptocracy or Western Democracy will prevail. The importance of the judgement is that it will determine the future of South Africa and its citizens

Over-dramatization...",/drama/Last-Gasp
71,/drama/Crystal-Grader,1448950842,Crystal Grader,Tag Cavello,Drama,Rating: 4.67,3 times,Dec 2015,931,198,"A young girl falls in love with an older man, a writer of romance novels that are near impossible to put down. But her love has an edge of which she is unaware, dangerous and deadly. When at last she learns of its existence, it may be too late to save the heart impaled by its greed.",/drama/Crystal-Grader
72,/short-stories/The-Secret-History-of-Gold-Prospecting-in-the-United-States-and-the-38-States-Where-Gold-Has-Already-Been-Found,1448933954,The (Secret) History of Gold Prospecting in the United States and the 38 States Where Gold Has Already Been Found!,Tim Rapp,Short Stories,Rating: 0,0 times,Dec 2015,205,42,"The U.S. Geological Survey conservatively estimates that there are over 13,200 metric tons of undiscovered gold in the lower 48 states worth more than $514 Billion dollars. This free eBook introduces the average American to a profound fact. With a basic introduction to the right tools and the free...",/short-stories/The-Secret-History-of-Gold-Prospecting-in-the-United-States-and-the-38-States-Where-Gold-Has-Already-Been-Found
73,/drama/Who-s-Your-Daddy-2015,1446986699,Who's Your Daddy 2015,Phil Mitchell,Drama,Rating: 5,1 times,Nov 2015,394,75,"The Queen Mother helps Prince Philip’s 3 illegitimate offspring steal £18.5 million pounds. But during a property deal in Spain, two South London villains prove troublesome, and have to be dealt with. Guns blazing, Beautiful woman at every turn, sex and violence are all part of a gangsters...",/drama/Who-s-Your-Daddy-2015
74,/drama/Cracking-Skulls-In-Portishead,1446543168,Cracking Skulls In Portishead,John Cullen,Drama,Rating: 3.67,3 times,Nov 2015,211,196,"Tony M Richards is an Afro-Carribean writer from England, and currently on a promotional book tour of Los Angeles. After a botched TV  slot, Tony is persuaded by his friend (Esteemed journalist Hymie Cohen, AKA Superman's Worst Nightmare) to drop the promotion and head to Las Vegas for a well...",/drama/Cracking-Skulls-In-Portishead
75,/drama/Wolf-Hunt,1443619519,Wolf Hunt,Lorri Frandsen,Drama,Rating: 0,0 times,Sep 2015,493,434,"Adam Jayaram never in his wildest dreams imagined he'd end up becoming a pimp and drug dealer while working for a mafia don in Kolkata, India. Yet through a strange series of events he finds himself in the notorious brothels of Sonagachi, trapped in a lifestyle that he finds both repugnant and...",/drama/Wolf-Hunt
76,/drama/Twenty-Years-on-May-and-After,1440425263,"Twenty Years on May, and After ?",M.B,Drama,Rating: 0,0 times,Aug 2015,192,36,"With the tumult of a May storm, some particularly rough year opens a fresco in three slices of lives that accompany intersect and separate at the mercy of events. A group of friends plunged into the fray of life when everything changes around them of rhythms more rapid that carry them away. Later...",/drama/Twenty-Years-on-May-and-After
